tri, 53, 46.95, 0.15
square, 69, 63.75, 0.15
square, 67, 13.65, 0.15
square, 67, 78.6, 0.15
tri, 48, 21.3, 0.15
square, 64, 68.85, 0.15
square, 62, 47.25, 0.15
noise, 20, 20.4, 0.0375
noise, 20, 28.2, 0.075
square, 66, 77.55, 0.15
square, 69, 80.798, 0.20156
square, 72, 31.2, 0.15
square, 72, 32.55, 0.15
noise, 20, 45.6, 0.0375
square, 67, 32.4, 0.15
noise, 20, 17.1, 0.024609
tri, 48, 80.1, 0.15
noise, 20, 17.4, 0.075
square, 60, 69, 0.15
noise, 20, 29.899, 0.024609
square, 69, 9.3, 0.15
tri, 59, 6.6, 0.15
square, 74, 23.85, 0.15
tri, 55, 64.5, 0.15
tri, 54, 65.25, 0.15
noise, 20, 11.7, 0.024609
square, 79, 25.65, 0.13125
square, 81, 62.798, 0.10078
noise, 20, 26.1, 0.024609
square, 72, 58.399, 0.19922
tri, 48, 3.3, 0.15
square, 77, 53.198, 0.10078
square, 68, 72.75, 0.15
square, 64, 18.9, 0.15
square, 66, 38.55, 0.15
square, 76, 67.999, 0.19922
square, 67, 50.85, 0.15
square, 60, 59.4, 0.15
square, 77, 53.798, 0.10078
tri, 48, 16.8, 0.15
square, 64, 2.4, 0.15
square, 60, 42.9, 0.15
tri, 55, 65.4, 0.15
tri, 53, 52.5, 0.15
square, 81, 48.6, 0.15
tri, 43, 38.1, 0.15
tri, 52, 14.85, 0.15
noise, 20, 25.8, 0.075
square, 72, 17.85, 0.15
noise, 20, 52.5, 0.0375
square, 72, 13.05, 0.15
tri, 56, 75.3, 0.15
square, 72, 11.25, 0.15
tri, 55, 53.4, 0.15
square, 70, 47.55, 0.15
noise, 20, 4.5, 0.024609
square, 67, 43.399, 0.098437
square, 67, 48, 0.098437
tri, 55, 8.85, 0.15
square, 68, 31.65, 0.15
noise, 20, 15.6, 0.0375
square, 72, 72.15, 0.15
tri, 56, 29.1, 0.15
tri, 55, 20.85, 0.15
square, 60, 59.4, 0.15
tri, 44, 72, 0.15
noise, 20, 59.4, 0.075
square, 67, 52.8, 0.098437
noise, 20, 54.45, 0.0375
square, 68, 27.75, 0.15
noise, 20, 15, 0.075
square, 64, 64.2, 0.15
noise, 20, 47.1, 0.024609
square, 74, 36.9, 0.15
noise, 20, 76.5, 0.075
tri, 53, 14.1, 0.15
noise, 20, 7.2, 0.0375
square, 79, 10.65, 0.15
square, 69, 23.1, 0.15
square, 74, 24.6, 0.15
tri, 48, 60, 0.15
noise, 20, 51.6, 0.0375
square, 78, 14.85, 0.15
square, 60, 69, 0.15
square, 72, 74.85, 0.15
square, 60, 32.85, 0.15
square, 76, 75.6, 0.15
noise, 20, 44.4, 0.0375
square, 79, 16.05, 0.13125
tri, 55, 75.6, 0.15
tri, 58, 29.55, 0.15
noise, 20, 26.899, 0.024609
square, 72, 0.75, 0.15
square, 81, 43.8, 0.15
square, 65, 28.65, 0.15
noise, 20, 6.9, 0.024609
square, 62, 49.95, 0.15
noise, 20, 16.699, 0.024609
square, 81, 10.2, 0.15
square, 79, 5.85, 0.15
noise, 20, 6.4992, 0.024609
square, 64, 8.1, 0.15
square, 62, 45.15, 0.15
square, 72, 31.65, 0.15
noise, 20, 41.7, 0.024609
square, 74, 19.95, 0.15
noise, 20, 49.099, 0.024609
noise, 20, 20.7, 0.024609
square, 71, 80.599, 0.19922
noise, 20, 9.6, 0.0375
square, 67, 73.05, 0.15
square, 68, 33.6, 0.15
noise, 20, 54.9, 0.0375
square, 72, 66.45, 0.15
square, 77, 66.45, 0.15
noise, 20, 35.55, 0.075
square, 76, 32.4, 0.15
tri, 53, 66, 0.15
noise, 20, 5.1, 0.024609
square, 76, 44.55, 0.15
noise, 20, 78, 0.075
square, 76, 0.15, 0.15
square, 64, 23.7, 0.15
noise, 20, 16.5, 0.024609
noise, 20, 61.8, 0.075
tri, 60, 54.75, 0.15
noise, 20, 31.2, 0.075
tri, 43, 76.5, 0.15
square, 72, 22.65, 0.15
tri, 50, 0, 0.15
noise, 20, 23.7, 0.024609
noise, 20, 47.4, 0.075
square, 72, 69.6, 0.15
noise, 20, 39.15, 0.0375
square, 65, 11.4, 0.15
square, 67, 4.8, 0.098437
tri, 52, 41.25, 0.15
square, 79, 24.3, 0.15
noise, 20, 26.7, 0.024609
noise, 20, 45.9, 0.024609
square, 64, 68.55, 0.15
square, 60, 71.25, 0.3
tri, 55, 1.8, 0.15
tri, 53, 56.4, 0.15
square, 69, 27.9, 0.15
square, 71, 48.398, 0.10078
noise, 20, 35.7, 0.075
square, 69, 28.35, 0.15
square, 69, 80.4, 0.19922
tri, 77, 15.75, 0.13125
noise, 20, 5.4, 0.075
tri, 52, 24.45, 0.15
tri, 48, 81.6, 1.2
square, 76, 15.45, 0.15
square, 62, 8.85, 0.15
square, 65, 45, 0.15
square, 69, 42.9, 0.15
square, 65, 14.25, 0.15
square, 72, 70.05, 0.15
tri, 59, 68.198, 0.20156
tri, 53, 27.6, 0.15
tri, 50, 76.95, 0.15
tri, 53, 28.5, 0.15
square, 60, 37.65, 0.15
noise, 20, 11.4, 0.075
square, 74, 45, 0.15
square, 71, 58.598, 0.20156
noise, 20, 7.5, 0.024609
tri, 57, 44.85, 0.15
noise, 20, 65.4, 0.075
tri, 64, 44.25, 0.15
noise, 20, 13.099, 0.024609
square, 60, 4.8, 0.098437
square, 65, 23.1, 0.15
noise, 20, 49.8, 0.075
square, 67, 54.6, 0.15
square, 69, 44.1, 0.15
tri, 55, 49.95, 0.15
square, 68, 33.75, 0.15
square, 77, 17.4, 0.15
square, 76, 60, 0.15
tri, 60, 66.6, 0.15
tri, 50, 76.8, 0.15
noise, 20, 24.499, 0.024609
square, 74, 67.65, 0.15
square, 72, 54, 0.15
square, 64, 80.1, 0.15
noise, 20, 41.1, 0.024609
square, 60, 41.25, 0.15
square, 72, 72, 0.15
square, 62, 6.75, 0.15
square, 69, 64.05, 0.15
noise, 20, 23.4, 0.075
square, 67, 67.2, 0.15
tri, 60, 23.25, 0.15
square, 64, 11.25, 0.15
square, 67, 70.8, 0.15
square, 67, 76.2, 0.15
tri, 64, 48.398, 0.10078
noise, 20, 62.85, 0.0375
square, 76, 21.9, 0.15
noise, 20, 3.4992, 0.024609
square, 60, 37.8, 0.15
square, 69, 61.8, 0.15
tri, 60, 65.7, 0.15
square, 71, 44.25, 0.15
square, 64, 3.3, 0.15
square, 68, 74.85, 0.15
square, 69, 18.75, 0.15
tri, 60, 28.35, 0.15
tri, 55, 63.9, 0.15
square, 68, 70.05, 0.15
tri, 64, 5.1984, 0.10078
square, 77, 56.85, 0.15
square, 74, 70.5, 0.15
noise, 20, 44.7, 0.024609
tri, 55, 57.6, 0.15
tri, 62, 48.9, 0.15
noise, 20, 44.299, 0.024609
noise, 20, 12.9, 0.024609
square, 72, 55.2, 0.15
noise, 20, 10.099, 0.024609
noise, 20, 39.6, 0.075
square, 69, 32.85, 0.15
noise, 20, 27.499, 0.024609
square, 71, 42.45, 0.15
noise, 20, 18.6, 0.075
noise, 20, 12, 0.0375
noise, 20, 58.05, 0.0375
square, 71, 39.6, 0.15
square, 68, 72.45, 0.15
square, 72, 45.6, 0.15
tri, 60, 13.65, 0.15
noise, 20, 27.9, 0.024609
square, 72, 5.4, 0.15
tri, 48, 64.8, 0.15
square, 79, 63.199, 0.098437
square, 71, 22.35, 0.15
tri, 65, 5.4, 0.15
noise, 20, 73.2, 0.075
tri, 52, 2.85, 0.15
tri, 50, 62.4, 0.15
square, 74, 49.8, 0.15
noise, 20, 14.4, 0.0375
square, 72, 68.4, 0.15
noise, 20, 47.299, 0.024609
tri, 48, 41.7, 0.15
tri, 53, 66.9, 0.15
noise, 20, 7.0992, 0.024609
noise, 20, 52.2, 0.075
square, 69, 6.15, 0.15
tri, 51, 74.85, 0.15
square, 75, 22.05, 0.15
square, 84, 25.35, 0.13125
square, 74, 29.55, 0.15
square, 84, 16.05, 0.13125
noise, 20, 33.15, 0.075
square, 76, 0.9, 0.15
noise, 20, 77.7, 0.0375
square, 72, 28.05, 0.15
noise, 20, 46.099, 0.024609
square, 64, 37.35, 0.15
square, 76, 70.8, 0.15
noise, 20, 34.8, 0.075
noise, 20, 27.3, 0.024609
tri, 55, 6.75, 0.15
tri, 36, 81.6, 1.2
tri, 53, 13.2, 0.15
noise, 20, 77.55, 0.0375
noise, 20, 37.95, 0.075
noise, 20, 2.1, 0.0375
noise, 20, 11.1, 0.024609
tri, 48, 55.2, 0.15
tri, 55, 30.45, 0.15
square, 69, 46.95, 0.15
square, 60, 76.05, 0.3
square, 77, 52.05, 0.15
noise, 20, 21, 0.075
noise, 20, 28.5, 0.024609
square, 69, 52.2, 0.15
square, 64, 70.95, 0.15
noise, 20, 20.899, 0.024609
square, 74, 58.05, 0.15
noise, 20, 30.6, 0.075
noise, 20, 38.85, 0.0375
tri, 59, 53.7, 0.15
square, 75, 24.45, 0.15
noise, 20, 38.1, 0.075
square, 74, 28.65, 0.15
square, 64, 6.45, 0.15
tri, 55, 54.9, 0.15
noise, 20, 33.45, 0.075
square, 72, 43.8, 0.15
noise, 20, 48.6, 0.075
square, 64, 59.25, 0.15
noise, 20, 5.2992, 0.024609
square, 79, 16.2, 0.15
noise, 20, 12.499, 0.024609
square, 76, 64.8, 0.15
noise, 20, 32.85, 0.0375
square, 79, 21.9, 0.15
square, 74, 57.75, 0.15
tri, 56, 32.1, 0.15
noise, 20, 42.3, 0.024609
square, 72, 75.15, 0.15
tri, 60, 23.4, 0.15
square, 72, 36.45, 0.15
noise, 20, 33.3, 0.075
